osmid,x,y,ref,highway
42422026,-74.0158085,40.7115654,,traffic_signals
42422028,-74.0144344,40.7110326,,traffic_signals
42427411,-74.016626,40.708134,,stop
42427412,-74.017398,40.708457,,
42429521,-74.0167436,40.7064989,,
42429577,-74.0144914,40.7154214,,
42429595,-74.0155982,40.7155461,,
42429630,-74.0153819,40.7158285,,
42429633,-74.0164693,40.716328,,
42431629,-74.0138466,40.7176089,,
42431630,-74.0141012,40.7177244,,
42433712,-74.01793,40.706175,,
42433715,-74.0175699,40.7068323,,
42433718,-74.0171175,40.7074569,,
42437401,-74.0163751,40.7100848,,traffic_signals
42437410,-74.017553,40.7103718,,
42437819,-74.0174564,40.7075988,,
42440628,-74.0169615,40.7090555,,
42440639,-74.0167518,40.7093532,,
42443666,-74.0170123,40.7057939,,
42445291,-74.015769,40.717671,,
42446800,-74.0152427,40.7160103,,
42446814,-74.014543,40.717104,,
42446825,-74.014296,40.716992,,
42446849,-74.0159377,40.715103,,
42451375,-74.0164671,40.7050716,,
42453395,-74.0136813,40.7137089,,traffic_signals
246858431,-74.0150379,40.7098348,,traffic_signals
246858433,-74.0146457,40.7111302,,traffic_signals
246858435,-74.0135528,40.715273,,traffic_signals
246858448,-74.0130401,40.7172418,,traffic_signals
246858449,-74.0132223,40.7165276,,traffic_signals
246858654,-74.0169087,40.7048317,,traffic_signals
246901366,-74.017352,40.7049176,,
246909454,-74.0160121,40.7071601,,traffic_signals
246923513,-74.0164164,40.7048817,,traffic_signals
272196096,-74.017764,40.7079616,,turning_circle
279152444,-74.0179459,40.7069912,,
373880031,-74.0139335,40.7138012,,traffic_signals
587987721,-74.0168143,40.7051367,,
588593353,-74.0162324,40.7066286,,traffic_signals
588593611,-74.0157754,40.7077457,,traffic_signals
889298452,-74.0157019,40.7118082,,
1772136801,-74.0164046,40.7047995,,
4145424858,-74.0180549,40.7087488,,
